iter	RMSE
284	34551351.39
285	34520353.16
286	34398246.65
287	34310727.9
288	34189421.04
289	34033357.65
290	33910275.06
291	33752238.99
292	33583923.51
293	33419634.83
294	33292169.16
295	33180609.54
296	33026908.03
297	32869176.83
298	32748088.72
299	32577618.98
300	32517940.67
301	32399428.61
302	32257957.82
303	32149689.02
304	32107870.94
305	32015382.01
306	31897992.76
307	31783755.23
308	31735033.17
309	31658697.95
310	31588336.32
311	31425245.52
312	31364903.26
313	31322679.91
314	31258244.96
315	31089292.51
316	30930431.34
317	30790041.33
318	30648436.02
319	30504398.76
320	30395921.58
321	30267985.48
322	30251796.89
323	30185297.6
324	30141268.3
325	30043454.87
326	29930183.15
327	29839618.03
328	29721854.84
329	29703919.47
330	29598134.13
331	29420104.63
332	29261177.66
333	29184509.77
334	29037564.4
335	28939320.18
336	28829739.85
337	28729662.08
338	28640825.3
339	28533244.84
340	28519104.17
341	28417246.69
342	28305316.98
343	28192253.94
344	28127767.85
345	27992768.27
346	27893954.27
347	27813641.45
348	27744000.36
349	27664107.79
350	27597522.13
351	27491308.22
352	27459352.48
353	27338895.91
354	27314585.42
355	27244687.23
356	27134559.43
357	27090391.18
358	26984614.05
359	26877006.76
360	26723287.32
361	26683496.12
362	26589766.5
363	26550161.44
364	26489550.49
365	26380523.52
366	26270510.13
367	26208622.97
368	26101228.84
369	26007225.06
370	25990918.39
371	25864182.49
372	25827284.29
373	25794087.01
374	25753951.8
375	25673276.51
376	25587385.02
377	25447386.29
378	25375743.94
379	25291955.25
380	25184517.28
381	25068505.96
382	25010283.46
383	24967832.66
384	24950803.05
385	24871015.37
386	24847900.85
387	24735758.63
388	24699758.64
389	24646712.87
390	24567442.31
391	24453579.52
392	24356278.07
393	24235261.56
394	24166138.38
395	24099420.84
396	24033329.5
397	23986268.41
398	23899618.27
399	23835441.07
400	23777877.08
401	23678293.23
402	23590034.16
403	23507670.32
404	23448237.8
405	23369100.71
406	23357393.08
407	23296693.56
408	23239648.2
409	23181508.17
410	23083634.14
411	23058454.13
412	23017602.86
413	22925583.02
414	22881602.33
415	22825657.1
416	22778392.16
417	22668584.33
418	22576103.35
419	22496044.35
420	22405264.46
421	22312161.64
422	22277264.79
423	22233967.97
424	22208546.02
425	22160892.08
426	22094292.76
427	22008921.84
428	21926355.46
429	21839634.49
430	21827710.27
431	21737046.28
432	21702897.89
433	21611315.12
434	21527233.42
435	21426994.7
436	21376565.92
437	21325151.56
438	21317794.96
439	21259889.12
440	21190874.46
441	21111371.89
442	21017921.19
443	20909314.52
444	20879607.58
445	20814466.19
446	20763393.5
447	20683275.04
448	20604716.08
449	20527208.47
450	20451083.73
451	20389575.94
452	20264745.76
453	20176569.58
454	20097450.36
455	20025661.29
456	19961625.27
457	19916818.72
458	19854921.35
459	19845184.6
460	19790911.41
461	19719835.15
462	19648125.22
463	19634858.34
464	19587195.58
465	19505532.29
466	19423180.47
467	19307713.94
468	19229931.38
469	19200644.91
470	19163526.7
471	19095617.66
472	19078117.3
473	19037614.24
474	19001776.95
475	18962149.88
476	18876935.37
477	18832576.81
478	18781262.44
479	18702227.24
480	18657808.17
481	18568254.58
482	18502456.15
483	18410078.57
484	18320584.01
485	18232268.39
486	18154161.15
487	18101556.4
488	18046692.53
489	18019222.66
490	17969627.79
491	17930015.32
492	17856771.32
493	17770740.29
494	17708033.41
495	17659854.83
496	17640364.09
497	17595796.53
498	17561586.09
499	17520341.27
500	17479493.19
501	17442487.55
502	17394431.28
503	17387725.56
504	17323798.69
505	17266477.43
506	17263621.9
507	17192303.91
508	17128429.44
509	17043316.79
510	16985246.26
511	16931774.68
512	16890099.41
513	16846847.6
514	16823815.55
515	16766140.44
516	16711030.23
517	16644174.05
518	16607933.3
519	16581537.04
520	16506256.41
521	16430568.17
522	16336142.05
523	16263534.49
524	16191532.25
525	16186981.74
526	16139951.97
527	16070359.51
528	15996351.41
529	15959875.19
530	15885527.51
531	15825105.04
532	15801669.2
533	15740943.32
534	15718710.26
535	15706842.48
536	15636997.11
537	15561732.95
538	15525820.61
539	15484086.09
540	15466009.27
541	15407628.38
542	15358307.7
543	15304517.14
544	15260802.02
545	15215865.21
546	15165763.13
547	15121951.66
548	15083573.53
549	15039800.27
550	15000334.28
551	14968729.22
552	14909036.5
553	14848402.48
554	14790491.09
555	14718265.55
556	14680900.66
557	14623820.01
558	14552407.54
559	14522074.08
560	14491864.16
561	14445555.98
562	14407100.59
563	14354095.09
564	14337375.59
565	14270227.29
566	14256566.92
567	14197897.84
568	14137550.99
569	14097737.98
570	14079892.45
571	14057204.03
572	14030657.28
573	13978926.93
574	13931291.52
575	13883127.78
576	13845149.69
577	13792078.03
578	13731184.8
579	13680818.44
580	13647024.81
581	13628144.15
582	13592782.13
583	13555775.44
584	13506440.68
585	13452459.01
586	13385387.75
587	13342763.41
588	13292792.66
589	13247040.91
590	13184318.58
591	13119071.59
592	13074497.66
593	13037169.23
594	13016292.58
595	12953376
596	12917299.36
597	12862886.49
598	12828555.47
599	12802684.06
600	12774996.37
601	12721914.42
602	12682923.91
603	12643630.72
604	12598073.07
605	12557182.05
606	12510274.81
607	12474383.57
608	12440282.09
609	12394064.71
610	12351481.83
611	12326143.27
612	12283415.62
613	12251756.91
614	12215136.66
615	12175599.43
616	12147538.71
617	12116393.59
618	12095073.73
619	12076167.04
620	12035664.61
621	12006603.87
622	11983809.31
623	11951612.79
624	11916800.34
625	11863966.5
626	11809609.37
627	11767595.03
628	11737720.86
629	11691379.96
630	11666047.97
631	11641739.72
632	11626360.16
633	11597464.87
634	11578449.74
635	11548404
636	11522858.82
637	11499809.2
638	11479644.85
639	11438545.49
640	11395420.63
641	11366460.06
642	11329845.86
643	11294278.69
644	11281996.82
645	11239296.6
646	11175375.05
647	11164048.34
648	11107191.6
649	11067219.25
650	11007858.26
651	10974369.69
652	10939193.62
653	10895377.61
654	10855620.52
655	10834753.15
656	10806334.17
657	10777144.7
658	10764016.04
659	10752890.68
660	10700118.54
661	10640705.27
662	10611872.84
663	10573368.35
664	10530662.25
665	10506959.79
666	10468574.95
667	10448313.11
668	10403109.55
669	10366127.53
670	10323581.31
671	10298672.08
672	10278192.93
673	10252052.43
674	10237353.34
675	10217589.58
676	10185080.87
677	10154936.64
678	10122890.82
679	10096902.22
680	10062636.74
681	10029773.99
682	10005401.37
683	9970358.9
684	9943812.794
685	9913903.167
686	9894180.497
687	9876154.207
688	9841411.804
689	9817281.851
690	9788448.186
691	9760027.407
692	9729317.721
693	9694230.928
694	9669080.634
695	9633686.226
696	9605465.022
697	9581617.132
698	9544259.765
699	9531975.953
700	9521481.179
701	9484859.473
702	9466102.759
703	9437512.468
704	9409999.578
705	9376520.871
706	9339113.004
707	9317671.99
708	9290780.163
709	9255196.201
710	9226459.703
711	9213780.463
712	9190471.368
713	9162458.291
714	9148089.103
715	9136499.892
716	9108219.434
717	9088005.913
718	9048674.053
719	9033936.388
720	9006130.607
721	8985626.268
722	8956123.771
723	8929342.613
724	8897660.144
725	8877891.343
726	8849303.739
727	8827758.337
728	8804522.96
729	8778940.394
730	8757057.823
731	8730753.768
732	8710441.375
733	8671672.055
734	8643378.393
735	8620538.147
736	8594588.376
737	8583461.357
738	8579003.313
739	8575660.093
740	8559940.752
741	8537808.034
742	8514074.131
743	8488144.439
744	8465849.306
745	8462446.737
746	8443510.885
747	8426001.129
748	8419506.08
749	8382780.261
750	8352144.39
751	8349461.64
752	8346281.885
753	8316398.64
754	8298236.334
755	8269355.891
756	8243703.581
757	8225234.139
758	8209110.918
759	8190415.733
760	8162423.379
761	8140787.818
762	8112889.886
763	8094832.397
764	8073078.363
765	8035556.206
766	8027248.741
767	7998054.445
768	7980668.409
769	7964855.795
770	7956636.593
771	7936387.478
772	7920063.342
773	7904743.32
774	7880060.706
775	7851245.828
776	7827751.117
777	7807132.33
778	7792057.567
779	7769749.974
780	7767622.079
781	7735181.033
782	7719730.922
783	7686721.854
784	7659249.326
785	7650345.139
786	7630825.215
787	7610756.229
788	7589584.756
789	7564861.616
790	7540049.084
791	7536192.464
792	7532200.095
793	7514176.027
794	7493498.712
795	7482126.131
796	7466777.027
797	7438723.919
798	7431694.933
799	7408590.68
800	7405214.764
801	7386382.099
802	7357278.433
803	7328208.802
804	7311788.148
805	7285828.446
806	7267822.425
807	7253442.932
808	7229331.599
809	7212539.533
810	7189702.726
811	7162180.244
812	7153358.749
813	7136026.624
814	7115859.285
815	7101529.278
816	7095754.845
817	7072312.405
818	7051186.942
819	7035808.401
820	7021996.8
821	6999085.4
822	6973552.677
823	6958617.542
824	6935610.037
825	6913740.945
826	6898860.407
827	6885540.773
828	6864900.139
829	6857320.497
830	6843985.216
831	6822708.115
832	6819700.061
833	6803823.469
834	6793082.56
835	6778126.635
836	6761821.979
837	6747991.922
838	6728437.704
839	6707874.904
840	6688510.406
841	6673987.732
842	6659967.134
843	6645162.859
844	6629217.114
845	6606150.54
846	6587500.791
847	6581453.1
848	6572602.276
849	6553113.661
850	6545002.452
851	6526639.042
852	6514926.926
853	6496747.409
854	6485884.357
855	6470307.951
856	6457601.847
857	6454198.411
858	6443076.06
859	6432971.475
860	6417082.918
861	6412648.582
862	6394076.022
863	6371230.979
864	6352860.526
865	6332552.735
866	6316526.927
867	6294269.327
868	6273310.26
869	6263388.127
870	6250905.552
871	6235486.619
872	6195361.52
873	6185899.026
874	6160459.597
875	6132791.179
876	6119970.287
877	6113162.726
878	6095977.879
879	6087780.238
880	6075568.765
881	6060924.913
882	6057846.483
883	6049008.535
884	6024895.882
885	6009820.851
886	5992459.075
887	5986506.907
888	5972573.17
889	5959021.99
890	5947028.332
891	5925119.283
892	5898824.046
893	5889732.787
894	5871048.517
895	5857864.055
896	5835585.908
897	5814474.289
898	5792575.838
899	5771008.336
900	5767124.149
901	5759147.364
902	5746930.842
903	5735995.177
904	5720878.596
905	5710740.849
906	5703564.469
907	5694830.038
908	5678197.741
909	5667996.622
910	5652627.928
911	5633178.556
912	5608710.739
913	5599088.999
914	5575973.74
915	5559813.103
916	5542202.711
917	5525200.342
918	5499734.64
919	5488415.404
920	5477237.181
921	5461039.618
922	5456963.913
923	5440930.724
924	5431587.096
925	5413722.37
926	5402585.602
927	5379368.118
928	5356046.71
929	5347278.577
930	5332537.91
931	5316286.374
932	5303135.097
933	5287139.143
934	5279118.18
935	5267235.01
936	5256789.706
937	5246358.008
938	5224697.23
939	5216720.522
940	5205200.604
941	5194328.983
942	5184676.149
943	5168669.853
944	5164621.663
945	5151478.071
946	5139509.159
947	5121740.471
948	5107028.453
949	5087409.469
950	5073162.028
951	5060822.55
952	5049414.082
953	5036546.91
954	5022597.086
955	5009575.965
956	4995256.499
957	4979994.455
958	4971305.961
959	4963946.012
960	4947713.235
961	4925981.815
962	4908935.1
963	4902257.464
964	4894925.715
965	4873343.085
966	4860953.041
967	4847029.595
968	4830606.295
969	4823864.975
970	4816671.682
971	4802749.999
972	4794827.191
973	4782987.02
974	4769624.253
975	4751289.091
976	4734529.123
977	4726271.473
978	4714915.318
979	4703341.429
980	4680958.488
981	4679196.529
982	4661018.461
983	4658673.549
984	4643620.525
985	4627942.304
986	4605320.441
987	4592114.189
988	4583342.617
989	4574416.078
990	4560607.083
991	4549278.172
992	4537244.65
993	4525616.244
994	4512269.914
995	4505115.495
996	4489474.037
997	4479832.823
998	4468130
999	4463085.041
